GEL-Pancreas_common_SBS1	GEL-Pancreas_common_SBS18	GEL-Pancreas_common_SBS5	GEL-Pancreas_common_SBS17	GEL-Pancreas_common_SBS1+5+18	GEL-Pancreas_common_SBS3+8	GEL-Pancreas_common_SBS2+13	GEL-Pancreas_rare_SBS44	GEL-Pancreas_rare_SBS108	GEL-Pancreas_rare_SBS98	GEL-Pancreas_rare_SBS57	unassigned
GEL-2001928-11	1252.68709429748	0	845.114259789209	0	1934.47253437565	1438.99183360089	1082.86507991903	0	0	0	0	601.869198017741
GEL-2631345-11	949.144598506781	0	851.129666311138	0	649.098887703794	494.075270455584	0	0	0	0	0	338.551577022703
GEL-2156150-11	752.093794242567	0	1697.59745162813	0	1028.17885795186	0	327.694431335536	0	0	0	0	441.435464841907
GEL-2141988-11	1905.41330535759	4473.77455413667	0	2557.86998516804	1726.56223998842	2200.66743841117	0	0	0	0	0	945.71247693811
GEL-2031143-11	2046.9319598211	0	1455.0420118777	0	0	0	2335.64660165701	0	0	0	0	963.37942664419
GEL-2052225-11	1606.54231119199	759.675029247368	0	0	2198.84830365267	1483.27050565449	758.67281944625	0	0	0	0	902.991030807232
GEL-2194043-11	0	0	0	13560.8271006596	1768.71651849728	1624.11706337826	0	0	0	0	0	493.339317464859
GEL-2555980-11	1254.96254891001	0	0	403.27333705981	925.422023476803	1713.41009875163	757.89305012111	0	0	0	0	329.038941680637
GEL-2067443-11	2644.14186152544	1082.40018237478	0	0	1500.6344036996	1453.0508695369	581.520875398945	0	0	0	0	428.251807464335
GEL-2137090-11	2259.64573586607	0	0	0	3969.5127106702	1011.51287977002	0	0	0	0	0	1634.32867369371
GEL-2557228-11	1678.31692656155	0	1221.50884223364	0	0	759.166739263002	1902.19313529053	0	0	0	0	213.814356651278
GEL-2873119-11	0	0	0	0	93.8217821782178	61.1881188118812	0	0	0	0	0	50.990099009901
GEL-2104592-11	761.537584521988	718.035437540102	1180.55826464636	0	0	5880.79023740191	1020.05034302354	0	0	0	0	570.0281328661
GEL-2560019-11	2044.28829956749	9129.95276576372	2363.72399271568	2506.41862053267	0	0	0	0	0	0	0	1551.61632142044
GEL-2074285-11	1267.40653594771	710.332461873638	1262.3651416122	343.823093681917	0	0	686.133769063181	0	0	0	0	357.938997821354
GEL-2290584-11	2606.37169360764	441.453894195444	724.462711241734	0	717.487141807494	0	436.471344599559	0	0	0	0	498.753214548129
GEL-2078471-11	1064.96915695682	0	1029.70527758739	0	0	311.329677861549	206.041809458533	0	0	0	0	327.954078135708
GEL-2048722-11	1100.16460614624	0	485.013422818792	0	0	313.33168491699	420.945602260685	0	0	0	0	514.544683857293
GEL-2411232-11	912.205144291092	287.277289836888	780.037641154329	0	0	298.249686323714	574.055834378921	0	0	0	0	328.174404015056
GEL-2674549-11	0	549.449291946789	1135.86153626091	0	0	1010.48719782578	565.932770705192	0	0	0	0	230.269203261329
GEL-2302399-11	2377.88317913276	0	1012.51476981384	0	0	454.955969234199	0	0	0	0	0	644.646081819201
GEL-2445554-11	1068.098928277	420.856907313626	787.361441526322	285.22529737369	0	1122.94994700271	0	0	0	0	0	549.507478506652
GEL-2849973-11	2450.4019652078	1629.93703313782	0	0	1273.16969970422	3323.83235574272	898.414097357999	0	0	0	0	391.244848849441
GEL-2826610-11	1871.19382835101	825.702989392478	832.696239151398	1006.02892960463	0	1551.00289296046	714.310511089682	0	0	0	0	451.064609450342
GEL-2097095-11	340.085106382979	0	253.039513677812	0	0	130.568389057751	0	0	0	0	0	275.306990881458
GEL-2430582-11	829.204212168487	865.080811232449	424.960842433697	0	493.176911076443	370.893291731669	0	0	0	0	0	255.683931357255
GEL-2470687-11	9445.43266519671	0	0	0	8790.96257769105	0	0	43614.2878390941	0	0	0	3427.31691801814
GEL-2838199-11	1456.35128869494	344.219282694668	868.647483976544	0	0	580.616937133506	346.750306832129	0	0	0	0	115.414700668213
GEL-2225692-11	1181.83742681708	666.690346994145	865.747179780094	431.123090104241	1443.91225189205	2100.5997429673	0	0	0	0	0	315.08996144509
GEL-2363026-11	438.157994428969	0	1224.04456824513	0	0	2142.3277994429	0	0	0	0	0	679.469637883001
GEL-2825996-11	984	0	770	0	0	1225.5	0	0	0	0	0	573.5
GEL-2371976-11	1775.2647338403	0	1000.71292775665	0	0	317.225998098859	334.238117870722	0	0	0	0	783.558222433469
GEL-2308034-11	1267.74189079995	845.65958674824	651.810689137712	0	836.689714879372	506.299434376082	0	0	0	0	0	208.798684058644
GEL-2798298-11	1313.82777678731	0	646.922802638617	0	0	404.139418791228	0	0	0	0	0	437.110001782845
GEL-2537426-11	1930.20728170981	444.04768553324	636.068306304371	0	576.061862313393	634.568145204597	326.535066050908	0	0	0	0	108.511652883681
GEL-2509826-11	0	0	1156.89797827556	0	0	5903.14609427784	785.845953952497	0	0	0	0	1828.1099734941
GEL-2868938-11	1672.32226664349	0	1595.2151920737	0	1457.52398748479	0	0	0	0	0	0	1035.93855379802
GEL-2638733-11	2761.95128939828	0	0	0	0	0	3744.35673352436	0	0	0	0	1182.69197707736
GEL-2990170-11	1909.72755888419	664.013025073266	564.636926082709	601.275588841854	0	430.127862802562	0	0	0	0	0	454.219038315419
GEL-2248593-11	1300.32046637244	0	3119.26585863909	2056.96166260457	0	566.729266846716	0	0	0	0	0	563.722745537184
GEL-2133581-11	299.961759082218	0	1623.44168260038	0	0	620.19120458891	768.145315487572	0	0	0	0	133.26003824092
GEL-2167732-12	0	0	508.560954063604	0	0	810.894434628975	869.959584805654	0	1753.93462897526	0	0	589.650397526507
GEL-2525162-11	927.49983803045	343.555555555556	954.543569808876	0	0	381.617103984451	237.383867832847	0	0	0	0	247.40006478782
GEL-2715996-11	177.565563873461	0	1349.59888915721	0	0	290.744747645496	0	0	0	0	0	265.090799323833
GEL-2692506-11	811.210590917061	0	496.434858846221	0	0	554.48570927582	411.360336664913	0	0	0	0	580.508504295985
GEL-2563443-11	469.300865800866	0	824.016594516594	0	1531.45526695527	731.352092352093	0	0	0	0	0	586.875180375177
GEL-2132869-11	1457.33056664006	256.437988826816	956.498643256185	0	0	0	0	0	0	0	0	473.732801276939
GEL-2907129-11	1588.43213530655	0	0	0	795.461310782241	1087.34630021142	458.249471458774	0	0	0	0	782.510782241015
GEL-2039983-11	0	737.656781462585	0	548.616602891156	0	5083.58046343537	975.207270408163	0	0	0	0	2064.93888180273
GEL-2167732-11	0	0	546.43734953571	0	0	0	1641.81176200848	0	1735.80098589935	0	0	436.94990255646
GEL-2243965-11	916.647870280736	552.089060987415	1218.69659567602	0	784.126492416909	0	0	0	0	2046.33010648596	0	681.10987415296
GEL-2460349-11	608.795577395577	343.474201474201	566.981326781327	0	0	189.159705159705	0	0	0	0	0	317.58918918919
GEL-2685254-11	0	0	0	0	0	0	0	0	0	0	917.574036511156	94.425963488844
GEL-2190432-11	3334.68132137031	6798.8696846112	0	5526.30048939641	0	0	1708.59290375204	0	0	0	0	1022.55560087004
GEL-2113131-11	1532.72674488932	762.082012822064	1002.84553042216	0	0	401.440425789283	0	0	0	0	0	464.905286077173
GEL-2956618-11	1028.68969532311	0	773.283912284106	0	0	589.048515427906	0	0	0	0	0	209.977876964878
GEL-2751042-11	1396.50884207289	345.025680455174	0	0	578.688605259111	419.598954328771	0	0	0	0	0	493.177917884054
GEL-2563012-11	2646.98426173216	532.195249904617	0	0	1225.29835940481	497.215280427318	0	0	0	0	0	337.306848531095
GEL-2656112-11	0	0	0	0	0	4507.32600165221	3738.92947129285	0	0	0	0	1442.74452705494
