ICGC-Bladder_common_SBS2+13+107	ICGC-Bladder_common_SBS2+13	ICGC-Bladder_common_SBS13	ICGC-Bladder_common_SBS1	ICGC-Bladder_common_SBS92	ICGC-Bladder_common_SBS92+100	unassigned
b73523d7-f5a5-4140-8537-4df4d1ecf465	0	31707.7360602263	0	0	4399.20029845321	11464.415959594	4688.64768172649
df8a913c-5160-4fc5-950d-7c890e24e820	3584.48131727137	8663.08009123958	11337.6853945399	0	8584.54763703757	0	2917.20555991158
448fe471-3f4e-4dc8-a4e0-6f147dc93abe	0	16909.2605710788	13310.4179456907	0	2499.39070357252	0	1582.93077965798
c66c92d5-df65-46e6-861d-d8a98808e6a3	447.855973578403	0	0	2328.65134979897	335.517518667433	354.490235496841	10.4849224583531
91f458e6-64b7-454d-a542-b0aa23638fd8	1547.45185389456	0	0	3861.88420366517	0	11894.4434555893	2627.22048685097
2b142863-b963-4cc9-8f8f-c72503c93390	2915.09813921433	9407.70310130944	7772.42853204686	0	3570.5077877326	0	1723.26243969677
abd2d959-d5ed-4eb3-9759-67eb1aa23325	2981.47574248294	3591.8013650618	2748.97074340528	1540.84670724959	937.536321711861	1781.36912008854	0
94108975-b7a0-40ba-ad39-e44cc62e8cc0	20615.0984063116	8917.55657718623	15072.1308703351	0	6707.17074995635	8842.04339621073	0
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	2326.90079390693	1310.00713225328	3043.67827405925	1770.68547085781	5201.51361905377	1846.21470986897	0
804ffa2e-158b-447d-945c-707684134c87	2381.63951055852	0	0	850.621195973949	8209.69259917111	0	1205.04669429642
4838b5a9-968c-4178-bffb-3fafe1f6dc09	8406.28420169829	0	0	2584.62469860572	7019.91272670091	0	1079.17837299508
45a7949d-e63f-4956-866c-df51257032de	0	7150.84941970776	4674.18687627824	6439.72352955671	1482.38927629796	0	590.85089815933
d4615ca0-b5c7-4a5c-8593-bd50034a78ae	2779.54353630498	2208.56170733516	2403.71371356523	3666.46198917155	0	2168.13379811615	232.585255506929
418a3dec-96ff-4719-becb-e1a8260cce2f	6268.07147185156	0	0	0	13287.0317099115	16072.1191377058	1500.77768053114
f389176f-d8f3-45c2-aae4-7378a3d6fc7f	2664.36871278998	0	1401.29768014781	2809.60685690823	0	2020.81348799015	861.913262163831
e6c78a98-f45b-482b-a551-4f11b8c1ff8b	0	0	5785.70217775162	1855.54590935845	1534.45144202472	0	1021.30047086521
973d0577-8ca4-44a1-817f-1d3c1bada151	2771.34395708425	1230.7086620385	2022.52122120543	3835.09214263175	0	2515.90442568634	297.42959135373
8c619cbc-9e91-4716-9711-5236e55d8f46	0	3814.65370965953	2162.52023954752	1919.57413773982	645.856715093712	0	472.395197959419
ffdd4feb-aca3-4104-b1e8-954d705a6450	0	2270.81416913947	0	1575.83011869436	3553.36201780415	3872.12537091988	850.868323442141
301d6ce3-4099-4c1d-8e50-c04b7ce91450	0	17210.7217128318	6338.52546685229	0	5887.31179492103	0	1859.44102539488
7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	0	3555.94720873786	4118.84223300971	1415.53762135922	0	0	857.67293689321
acc629cb-ad03-4cec-9b21-922e4932ef3e	914.470638237586	5987.85563504994	4896.69745696678	897.452574909683	1433.52156973861	0	2.00212509740049
cda1a403-16b6-487c-a82a-c377d1d0f89d	0	15431.699392221	20463.8079260689	0	0	0	2236.4926817101
