Hartwig-Biliary_common_SBS35	Hartwig-Biliary_common_SBS3	Hartwig-Biliary_common_SBS5	Hartwig-Biliary_common_SBS18	Hartwig-Biliary_common_SBS13	Hartwig-Biliary_common_SBS17	Hartwig-Biliary_common_SBS2	Hartwig-Biliary_common_SBS1	Hartwig-Biliary_rare_SBS164	Hartwig-Biliary_rare_SBS31	Hartwig-Biliary_rare_SBS118	Hartwig-Biliary_rare_SBS22	Hartwig-Biliary_rare_SBS17a	unassigned
HMF000816A	455.86457986458	467.913863913864	710.907758907759	0	0	0	592.423132423132	2063.94194694195	0	0	0	0	0	231.948717948715
HMF000963B	530.720010998831	2194.20801539836	2057.53763662611	695.821818931739	708.790541005018	0	0	0	0	0	0	0	0	1068.92197703994
HMF000528A	0	691.741564417178	1196.70283742331	1003.88113496933	0	0	377.084739263804	345.870782208589	0	0	0	0	0	323.718941717789
HMF003572A	723.153862523941	0	1124.73930623537	0	0	783.666737603746	601.127899553096	1035.22025962971	0	0	0	0	0	432.091934454137
HMF000923A	0	512.820159151194	0	0	1138.54103827207	0	3835.1120121258	521.350435771125	0	0	0	0	0	613.176354679811
HMF001750A	825.065878783039	0	601.548031621816	1902.15188053981	0	0	1107.08839734888	963.076898506748	0	0	0	0	0	863.068913199707
HMF002072A	945.406389670584	1129.68051647078	1918.35374937924	898.837113060751	0	0	0	537.800033107101	0	0	0	0	0	619.922198311544
HMF001714A	1381.61822849807	4646.89764655541	1821.15584082157	0	4633.89653401797	2984.25537013265	1351.11561831408	0	0	0	0	0	0	710.06076166025
HMF000585A	814.900342661336	0	1226.8389491719	1179.46102227299	0	0	624.3912050257	2222.77284408909	0	0	0	0	0	917.635636778984
HMF001710A	346.42520895379	0	493.028340858872	458.887885483716	384.582188490729	0	568.840234412528	2767.88721298876	0	0	0	0	0	206.348928811605
HMF000175A	0	0	602.235621934909	0	582.110789121712	1114.91573785109	511.170753455194	1070.64110566206	0	0	0	0	0	632.925991975035
HMF003743A	681.463145418179	0	0	1089.13756574561	0	0	1015.92666123417	2878.29172531299	0	0	0	0	0	1104.18090228905
HMF002910A	0	498.344651952462	2021.42614601019	0	0	0	539.414261460102	411.69779286927	0	0	0	0	0	364.117147707976
HMF001876A	0	0	697.44428913738	777.166533546326	0	0	212.592651757188	414.154552715655	0	0	0	0	0	409.641972843451
HMF000963A	1863.38800260459	4249.50695914048	2288.88999674426	1213.35727657496	1373.23376200553	0	0	0	0	0	0	0	0	1326.62400293018
HMF002440A	867.451275229888	1633.11491527384	0	1287.13723902608	933.638308946851	0	0	3219.09663987045	0	0	0	0	0	729.561621652891
HMF001264A	0	2092.730417156	0	5280.41265142618	0	15018.7718592641	0	6834.68323171222	0	0	0	0	0	1908.4018404415
HMF001035A	0	789.381223869251	1068.75484606613	1027.55226149753	0	0	325.098441657165	355.246674268339	0	0	0	0	0	399.966552641585
HMF003687A	415.316346627277	0	518.519202363368	598.175775480059	0	0	361.7109798129	1746.9337764648	0	0	0	0	0	429.343919251596
HMF000148A	3336.60639529705	3727.76010213473	0	4706.8996763754	1001.23298001841	1683.11582197678	1894.00742258246	0	0	0	0	0	0	562.37760161517
HMF001889B	1480.86065638592	1691.84215104784	1520.76259391064	0	0	0	668.357453538948	0	0	0	0	0	0	945.177145116652
HMF002626A	0	854.173607967406	890.574468085106	635.768447261204	0	0	553.492530556813	941.435943866003	0	0	0	0	0	530.555002263468
HMF001321A	589.989387626759	904.717003380237	1936.32418834997	660.927993082305	0	0	957.67117364987	860.755050703561	0	0	0	0	0	444.615203207298
HMF001457A	885.890191239975	2153.44848858729	0	2441.57539437737	1518.16867894598	981.932493170001	1800.29294086543	1019.44901736142	0	0	0	0	0	551.242795452534
HMF002685A	945.921824642592	1576.86968019172	1654.86323444343	947.921659366994	0	0	0	0	0	0	0	0	0	924.423601355264
HMF000245A	584.750321199143	452.580728051392	768.48608137045	859.602997858672	0	0	471.605139186295	2275.41970021413	0	0	0	0	0	432.555032119918
HMF002992A	252.544280996698	0	1246.75022515761	608.901230861603	0	0	0	654.319273491444	0	0	0	0	0	562.484989492645
HMF003426A	435.973334942085	410.504102316602	717.133687258687	874.443653474903	0	0	0	1293.93689671815	0	0	0	0	0	407.008325289573
HMF001759A	2793.11445671623	650.34158079842	0	860.113037576356	0	1359.25896217684	0	1745.75911643117	0	0	0	0	0	705.412846300984
HMF002709A	592.811206896552	658.456403940887	593.312315270936	876.43854679803	300.665024630542	0	0	708.066133004926	0	0	0	0	0	339.250369458127
HMF002507A	1680.46823416218	5595.55374485102	1573.843350672	1232.94407528789	3646.27066357978	0	0	2095.4542830512	0	0	0	0	0	824.46564839593
HMF001040A	894.656140941008	2170.08115040155	0	818.80376739688	802.729092208721	1445.21376613547	3495.73951982509	2319.77656309128	0	0	0	0	0	0
HMF003304A	910.481502561184	1472.16163915766	0	1341.7359134889	627.642572566875	535.195219123506	784.553215708594	1895.9203187251	0	0	0	0	0	334.309618668181
HMF001479A	0	759.296442687747	453.573122529644	341.307509881423	0	0	370.37628458498	859.533596837945	0	0	0	0	0	385.913043478261
HMF000339A	358.748129675811	0	659.293765586035	369.284788029925	0	0	746.597506234414	2291.97406483791	0	0	0	0	0	604.101745635905
HMF001354A	0	1075.7441162898	1906.31864328565	0	0	0	315.718389478542	412.285186894324	0	0	0	0	0	626.933664051684
HMF002793A	0	1625.47567567568	0	967.580780780781	1556.93453453453	803.482282282282	1006.6042042042	1918.65165165165	0	0	0	0	0	451.270870870877
HMF002947A	746.369770958168	1594.58531668253	0	1925.08484067873	0	1272.07369658957	1156.24908999272	1139.77403819231	0	0	0	0	0	1080.86324690597
HMF001139A	362.905490654206	1108.68376168224	1411.18820093458	430.295093457944	0	0	0	316.980724299065	0	0	0	0	0	642.946728971965
HMF002577A	845.864893617021	733.653191489362	0	890.145744680851	0	0	622.951063829787	1390.31808510638	0	0	0	0	0	720.067021276599
HMF002275A	288.571548680007	0	798.733815369094	1445.37581974105	0	0	0	284.039011266185	0	0	0	0	0	178.279804943664
HMF000132A	463.533288650581	554.235478105451	676.006925826631	0	0	0	691.541554959785	3537.38538873995	0	0	0	0	0	806.297363717602
HMF001827A	399.977154046997	614.197127937337	1571.94516971279	471.383812010444	0	0	649.151436031332	657.140992167102	0	0	0	0	0	226.204308093998
HMF000721A	1109.94359735528	1428.50141681285	3806.66576710296	0	0	2041.57495614627	1460.05667251383	0	4411.22439616786	0	0	0	0	590.03319390095
HMF002007A	688.305349472862	1646.42639593909	1112.80203045685	0	714.836392034362	1554.3186255369	1454.20148379539	1481.73369777431	0	0	0	0	0	321.376024990235
HMF002727A	291.132413165479	284.629455483088	1625.23919308357	419.690884271197	0	0	0	387.676323373275	0	0	0	0	0	289.631730623391
HMF002826A	2767.9307335319	0	0	0	0	0	0	0	0	2890.69377294452	0	0	0	1575.37549352358
HMF001621A	2232.65005509544	0	0	1538.56972239008	3141.10077133615	0	2359.07361461629	3260.52856076494	0	0	0	0	0	1526.0772757971
HMF002229A	0	706.45235471662	0	0	6800.48071671537	0	1756.61131605423	872.794327600249	0	0	0	0	0	321.661284913531
HMF001659B	0	10089.8196513859	0	0	2735.1197289464	4200.25521492428	3970.57721353635	1926.49303996408	0	0	0	0	0	1593.73515124299
HMF002695A	0	981.748833262622	1178.49809079338	1111.58336868901	0	0	0	674.640220619431	0	0	0	0	0	761.529486635557
HMF002048A	3670.17219270929	0	1965.86004762777	1867.84209562191	0	0	1003.68382487635	1582.28979666606	0	0	0	0	0	830.152042498619
HMF000412A	4349.3309010359	0	0	0	1621.47866310509	6337.09538080657	0	1909.59678154929	0	0	0	0	0	1164.49827350315
HMF002623A	0	0	984.03369140625	0	3142.68863932292	0	0	1140.51611328125	0	0	0	0	0	895.76155598958
HMF002294A	551.638329238329	1022.8294021294	1484.02702702703	1887.26265356265	0	0	423.722194922195	0	0	0	0	0	0	731.520393120396
HMF000317A	917.079128440367	0	2173.50252293578	1315.39633027523	0	0	452.792201834862	724.667431192661	0	0	0	0	0	953.5623853211
HMF000068A	1253.98225647459	2414.55614302357	0	1615.56304328345	1189.70122770858	0	0	4039.66090151447	0	0	0	0	0	694.536427995339
HMF001407A	619.093687992707	2297.05797179171	844.491875368692	2262.99780125489	764.851182495844	0	1280.2617042956	940.160883788277	0	0	0	0	0	331.084893012279
HMF001230A	1238.25279571586	2309.26886123799	1332.38604504646	0	0	0	0	0	0	0	0	0	0	1478.09229799969
HMF003424A	1328.96222986817	1789.6224533189	0	3445.6984574941	1321.45962036572	0	854.297135346194	3163.6003402018	0	0	0	0	0	1034.35976340512
HMF002705A	1059.03179501902	911.95794157755	1838.42316801837	0	0	1630.8189191129	592.297423383334	0	0	0	0	0	0	937.470752888827
HMF001896A	277.479947770938	0	839.966424174594	528.867748554374	0	0	264.935646334639	429.516881178885	0	0	0	0	0	349.23335198657
HMF003076A	326.110040160643	0	1429.67443105756	862.613654618474	0	0	0	521.976439089692	0	0	0	0	0	601.625435073631
HMF000638A	0	0	1413.76520059098	1687.60711444482	0	0	0	391.989430617116	0	0	0	0	0	911.638254347084
HMF002229B	0	0	0	0	6936.76046059802	0	1788.30526465431	920.458607780884	0	0	0	0	0	928.475666966786
HMF001904A	475.452588493898	660.045933449557	0	1039.70954293944	1335.5577958008	0	1865.39058591677	679.503069809748	0	0	0	0	0	526.340483589787
HMF000358A	921.406985909942	777.765592669229	1029.51340033501	1802.77455906986	918.904522613065	2547.50763622032	885.37151443492	1275.75578874766	0	0	0	0	0	0
HMF003710A	0	1353.17149569303	746.750195771339	962.756460454189	0	692.623335943618	634.487079091621	755.270164447925	0	0	0	0	0	614.941268598278
HMF001561B	0	335.245219482862	690.063138905592	735.230907997595	0	0	266.489837642814	679.523992784125	0	0	1414.2530366807	0	0	52.1938665063117
HMF001193A	1629.31391448646	4011.92882109946	2638.05606750697	1072.35201073333	1030.27934893902	0	0	0	0	0	0	3519.57850510186	0	284.4913321329
HMF002929A	307.984596676125	291.880826915282	613.956222132144	0	0	0	0	935.025131738954	0	0	0	0	0	334.153222537495
HMF001889A	855.377616818302	1324.08453316845	1381.60992845155	0	0	0	0	0	0	1095.98383535023	0	0	0	1005.94408621147
HMF001561A	0	0	950.81262416471	652.028625609536	0	0	367.734152067907	750.457467942929	0	0	2158.43958822467	0	0	653.527541990248
HMF000966A	1945.61226136058	1072.43990319979	0	1817.94084431299	0	0	550.238773863942	825.107824684055	0	0	0	0	0	1236.66039257864
HMF003271A	598.76953872933	739.59773716275	928.866840731071	1220.01166231506	0	0	583.288424717145	1381.31488250653	0	0	0	0	0	286.150913838114
HMF001659A	3891.04868403109	10512.2364652939	0	0	1853.45220237284	6991.97830015001	4619.1191360971	0	0	0	0	0	0	1487.16521205506
HMF002349A	0	0	0	4486.46554568369	0	42233.1564156458	0	0	0	0	0	0	12292.3448362488	777.033202421713
HMF002398B	1210.23689894282	0	747.764237808344	606.119472547459	0	0	413.923041946118	382.390815050585	0	555.567807207002	0	0	0	486.997726497672
HMF001952A	1214.53244592346	0	923.587354409318	0	630.129783693844	0	0	517.068219633943	0	4000.87188019967	0	0	0	565.810316139765
HMF002727B	688.019495239535	0	1620.22336406226	297.224421943479	0	0	0	284.714976575487	0	0	0	0	0	420.817742179239
HMF004173A	344.301946859312	469.77641728909	447.692910493449	0	0	0	402.02020325701	1873.08289457573	0	0	0	0	0	562.125627525409
